timestamps,open,high,low,close,volume,amount
2025-04-15 20:30:25.025360,442.37,445.4,441.87,441.87,74166,1237068
2025-04-16 20:30:25.025360,445.26,447.03,443.97,446.86,52861,6024592
2025-04-17 20:30:25.025360,447.28,452.83,442.09,448.23,54298,2604243
2025-04-18 20:30:25.025360,453.4,457.69,453.4,457.57,52221,1851161
2025-04-19 20:30:25.025360,450.33,456.5,448.95,456.5,49942,5772945
2025-04-20 20:30:25.025360,442.63,453.3,439.89,445.35,8453,2638846
2025-04-21 20:30:25.025360,446.16,457.82,439.85,443.19,59935,5230987
2025-04-22 20:30:25.025360,439.59,439.59,437.2,439.15,48370,8870907
2025-04-23 20:30:25.025360,421.91,426.02,419.75,419.75,13328,9713542
2025-04-24 20:30:25.025360,428.87,431.59,423.44,430.03,20534,2802466
2025-04-25 20:30:25.025360,434.45,438.75,432.53,435.68,90280,3382865
2025-04-26 20:30:25.025360,422.73,426.66,419.18,425.45,89925,1464310
2025-04-27 20:30:25.025360,420.63,423.87,413.59,422.26,41320,4714755
2025-04-28 20:30:25.025360,418.4,420.15,412.06,420.15,54170,9945850
2025-04-29 20:30:25.025360,413.55,417.63,410.73,410.73,85201,4127640
2025-04-30 20:30:25.025360,404.36,404.36,394.63,400.4,13640,5303677
2025-05-01 20:30:25.025360,399.92,400.41,392.05,395.24,96057,5098535
2025-05-02 20:30:25.025360,402.35,403.98,398.37,402.27,35049,5753292
2025-05-03 20:30:25.025360,414.78,424.13,412.55,412.55,10618,7227952
2025-05-04 20:30:25.025360,417.86,422.82,411.1,418.99,61053,6673938
2025-05-05 20:30:25.025360,417.92,426.58,417.92,420.73,6920,9009292
2025-05-06 20:30:25.025360,417.58,425.34,412.69,415.02,48937,6108728
2025-05-07 20:30:25.025360,407.8,413.9,407.8,412.17,74724,6060795
2025-05-08 20:30:25.025360,418.63,427.07,418.05,419.63,17207,6769049
2025-05-09 20:30:25.025360,420.99,428.53,419.95,423.65,70774,1919134
2025-05-10 20:30:25.025360,414.66,420.24,414.66,415.69,37972,2855797
2025-05-11 20:30:25.025360,413.34,415.0,405.98,409.93,15799,7379515
2025-05-12 20:30:25.025360,408.57,413.22,406.34,413.22,76088,9078886
2025-05-13 20:30:25.025360,408.38,410.01,407.28,407.28,33916,5636440
2025-05-14 20:30:25.025360,413.68,413.68,406.42,406.42,75463,7489759
2025-05-15 20:30:25.025360,403.53,412.41,403.53,408.29,98500,9899770
2025-05-16 20:30:25.025360,409.09,412.58,397.64,408.4,81700,3570725
2025-05-17 20:30:25.025360,401.08,403.96,401.08,403.96,42158,3426277
2025-05-18 20:30:25.025360,407.51,411.54,405.06,407.39,89607,8200987
2025-05-19 20:30:25.025360,427.97,427.97,423.03,426.01,76696,6324852
2025-05-20 20:30:25.025360,436.67,436.67,432.73,436.32,66510,6580509
2025-05-21 20:30:25.025360,437.59,443.11,431.13,435.42,63692,2317621
2025-05-22 20:30:25.025360,440.34,443.61,440.19,443.61,66744,7408929
2025-05-23 20:30:25.025360,440.82,440.82,433.02,435.37,20810,4637967
2025-05-24 20:30:25.025360,421.74,430.03,421.74,429.72,10126,3367893
2025-05-25 20:30:25.025360,428.47,440.31,428.47,434.07,35009,6766140
2025-05-26 20:30:25.025360,427.8,428.45,423.27,424.6,95932,6053127
2025-05-27 20:30:25.025360,419.29,423.95,415.36,420.2,5192,1739574
2025-05-28 20:30:25.025360,414.82,415.13,412.12,412.12,41413,5071495
2025-05-29 20:30:25.025360,410.27,410.27,406.16,407.45,17816,1325437
2025-05-30 20:30:25.025360,407.84,408.44,404.65,408.22,44082,3091013
2025-05-31 20:30:25.025360,412.1,415.19,408.06,409.69,70048,4681890
2025-06-01 20:30:25.025360,416.35,422.8,416.33,419.81,55940,6991305
2025-06-02 20:30:25.025360,424.69,428.14,416.81,423.88,37130,1872834
2025-06-03 20:30:25.025360,427.8,431.52,426.23,427.87,45142,5637370
2025-06-04 20:30:25.025360,426.69,434.02,426.43,426.43,41468,7626379
2025-06-05 20:30:25.025360,424.75,424.76,423.17,423.9,35698,6887774
2025-06-06 20:30:25.025360,416.48,423.01,409.65,415.18,15655,8352132
2025-06-07 20:30:25.025360,416.78,422.51,414.01,421.17,52897,2032499
2025-06-08 20:30:25.025360,421.28,421.61,414.57,414.57,35075,4820888
2025-06-09 20:30:25.025360,417.59,423.31,417.12,418.19,14359,8730302
2025-06-10 20:30:25.025360,427.85,428.59,422.76,422.76,47056,8534504
2025-06-11 20:30:25.025360,419.82,426.19,417.39,419.9,56831,3331348
2025-06-12 20:30:25.025360,428.62,429.42,422.86,422.86,64191,7565269
2025-06-13 20:30:25.025360,426.52,430.19,424.93,424.93,38272,8199107
2025-06-14 20:30:25.025360,416.86,425.13,416.86,424.17,19671,3806284
2025-06-15 20:30:25.025360,423.51,426.45,417.57,420.62,32048,7572531
2025-06-16 20:30:25.025360,425.9,432.9,423.77,426.85,81274,2141452
2025-06-17 20:30:25.025360,429.63,434.1,428.24,434.1,30963,7816080
2025-06-18 20:30:25.025360,443.13,444.71,440.59,442.28,48954,6550560
2025-06-19 20:30:25.025360,445.04,451.36,439.63,450.26,77309,2230796
2025-06-20 20:30:25.025360,470.86,470.86,457.6,468.29,5717,1113936
2025-06-21 20:30:25.025360,464.79,464.79,462.36,463.57,16676,5210583
2025-06-22 20:30:25.025360,460.42,462.44,458.6,462.44,9434,8539769
2025-06-23 20:30:25.025360,457.98,463.7,456.29,463.7,54810,5280428
2025-06-24 20:30:25.025360,451.2,451.2,448.88,448.88,99636,3433351
2025-06-25 20:30:25.025360,458.26,461.03,455.93,456.92,9994,3189063
2025-06-26 20:30:25.025360,465.68,467.32,461.84,467.32,9234,3819182
2025-06-27 20:30:25.025360,462.69,469.53,461.78,466.61,74300,1447244
2025-06-28 20:30:25.025360,460.32,463.72,459.17,463.72,48949,7252016
2025-06-29 20:30:25.025360,452.39,453.27,446.65,448.15,42405,9471414
2025-06-30 20:30:25.025360,448.94,449.61,434.27,449.61,39872,2278673
2025-07-01 20:30:25.025360,453.56,453.56,449.67,449.67,47215,6168638
2025-07-02 20:30:25.025360,450.36,450.8,449.49,450.61,28185,5115741
2025-07-03 20:30:25.025360,446.44,449.55,445.83,447.19,48442,7778892
2025-07-04 20:30:25.025360,452.04,452.04,442.96,449.15,56759,4457521
2025-07-05 20:30:25.025360,456.76,464.25,456.02,456.02,46153,5684013
2025-07-06 20:30:25.025360,459.39,470.96,457.25,457.25,82535,6044829
2025-07-07 20:30:25.025360,467.18,477.31,457.81,463.96,7581,6683860
2025-07-08 20:30:25.025360,474.51,477.69,469.95,469.95,56717,3438710
2025-07-09 20:30:25.025360,474.22,476.96,472.35,472.35,7763,9887120
2025-07-10 20:30:25.025360,475.05,477.53,463.58,472.57,97910,1767442
2025-07-11 20:30:25.025360,481.2,481.21,469.66,471.82,60480,8936627
2025-07-12 20:30:25.025360,475.47,478.38,471.6,478.38,43759,9863886
2025-07-13 20:30:25.025360,473.13,477.23,468.43,468.43,81067,2930440
2025-07-14 20:30:25.025360,482.19,488.72,482.19,483.34,30307,9768201
2025-07-15 20:30:25.025360,483.98,483.98,474.93,481.69,16064,1494955
2025-07-16 20:30:25.025360,465.34,465.62,462.82,464.33,81848,6478878
2025-07-17 20:30:25.025360,468.95,469.99,462.71,465.62,42548,6679487
2025-07-18 20:30:25.025360,465.53,467.87,462.93,467.87,41945,5840349
2025-07-19 20:30:25.025360,457.66,470.67,457.66,461.92,52937,2626528
2025-07-20 20:30:25.025360,465.46,469.28,462.0,467.25,11476,7096696
2025-07-21 20:30:25.025360,461.42,465.3,460.59,462.2,56756,3914611
2025-07-22 20:30:25.025360,464.41,467.7,463.23,465.89,95101,2308014
2025-07-23 20:30:25.025360,452.31,455.42,446.67,455.42,7382,3247680
2025-07-24 20:30:25.025360,447.66,447.66,442.37,445.27,54683,7589154
2025-07-25 20:30:25.025360,453.48,457.56,448.93,455.95,92999,3821839
2025-07-26 20:30:25.025360,450.32,460.52,450.32,457.85,50276,1298783
2025-07-27 20:30:25.025360,444.94,447.51,442.89,442.89,38402,4602571
2025-07-28 20:30:25.025360,443.45,443.45,432.94,432.94,96881,9340960
2025-07-29 20:30:25.025360,430.98,438.45,430.04,431.96,31946,4879928
2025-07-30 20:30:25.025360,432.39,435.63,432.15,434.43,84698,8039879
2025-07-31 20:30:25.025360,433.54,433.54,426.81,426.81,78933,3115226
2025-08-01 20:30:25.025360,426.95,429.97,422.56,427.12,27335,7962365
2025-08-02 20:30:25.025360,426.4,427.38,425.58,427.38,50095,2340683
2025-08-03 20:30:25.025360,430.16,430.67,424.33,424.33,84930,4630400
2025-08-04 20:30:25.025360,428.3,433.9,423.6,425.76,32197,6994602
2025-08-05 20:30:25.025360,421.88,426.7,421.88,423.46,27010,3854119
2025-08-06 20:30:25.025360,419.01,423.34,417.46,421.46,29123,3673705
2025-08-07 20:30:25.025360,428.21,431.35,422.06,422.63,92923,7307517
2025-08-08 20:30:25.025360,424.76,428.33,418.81,422.68,7890,4597170
2025-08-09 20:30:25.025360,429.71,433.99,427.06,433.09,98305,4305610
2025-08-10 20:30:25.025360,422.17,424.77,414.63,422.14,13026,9841830
2025-08-11 20:30:25.025360,419.32,420.7,416.24,416.24,69925,3088618
2025-08-12 20:30:25.025360,428.14,428.14,421.24,422.69,73842,8596537
2025-08-13 20:30:25.025360,419.02,423.32,412.21,419.05,38665,7922972
2025-08-14 20:30:25.025360,425.65,428.02,421.84,427.02,14277,5400852
2025-08-15 20:30:25.025360,435.93,436.75,433.88,435.77,47239,7759991
2025-08-16 20:30:25.025360,448.04,450.23,442.24,444.2,52664,3593157
2025-08-17 20:30:25.025360,438.74,445.65,438.56,438.56,53008,8058021
2025-08-18 20:30:25.025360,442.63,447.99,435.38,439.43,19683,7119922
2025-08-19 20:30:25.025360,432.64,441.59,432.64,438.46,5670,6575477
2025-08-20 20:30:25.025360,443.53,450.94,439.68,441.84,94211,7919879
2025-08-21 20:30:25.025360,457.22,462.86,452.79,456.68,22889,8759080
2025-08-22 20:30:25.025360,464.96,465.29,458.18,465.29,60612,7662064
2025-08-23 20:30:25.025360,460.43,468.3,460.35,463.08,49535,1217314
2025-08-24 20:30:25.025360,456.57,462.79,456.57,459.17,83542,3635122
2025-08-25 20:30:25.025360,464.15,465.55,461.74,461.74,59319,6728394
2025-08-26 20:30:25.025360,453.97,460.14,453.97,460.14,97067,1748692
2025-08-27 20:30:25.025360,460.11,465.47,457.76,457.76,26639,3382962
2025-08-28 20:30:25.025360,454.39,461.38,453.06,456.34,69712,4466689
2025-08-29 20:30:25.025360,455.86,469.21,455.4,460.35,21633,2614694
